ch,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
5.5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
11,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
6,-8,-5,-4,-3,-3,-3,-3,-3,-4,-6,-9,-3,-3,-3
9,-8,-5,-4,-3,-3,-3,-3,-3,-4,-6,-9,-3,-3,-3
12,-8,-5,-4,-3,-3,-3,-3,-3,-4,-6,-9,-3,-3,-3
18,-8,-5,-4,-3,-3,-3,-3,-3,-4,-6,-9,-3,-3,-3
24,-8,-5,-4,-3,-3,-3,-3,-3,-4,-6,-9,-3,-3,-3
36,-8,-5,-5,-5,-5,-5,-5,-5,-5,-6,-9,-5,-5,-5
48,-8,-6,-6,-6,-6,-6,-6,-6,-6,-6,-9,-6,-6,-6
54,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-9,-8,-8,-8
MCS0,-8,-5,-5,-5,-5,-5,-5,-5,-5,-6,-9,-5,-5,-5
MCS1,-8,-5,-5,-5,-5,-5,-5,-5,-5,-6,-9,-5,-5,-5
MCS2,-8,-5,-5,-5,-5,-5,-5,-5,-5,-6,-9,-5,-5,-5
MCS3,-8,-5,-5,-5,-5,-5,-5,-5,-5,-6,-9,-5,-5,-5
MCS4,-8,-5,-5,-5,-5,-5,-5,-5,-5,-6,-9,-5,-5,-5
MCS5,-8,-5,-5,-5,-5,-5,-5,-5,-5,-6,-9,-5,-5,-5
MCS6,-8,-7,-7,-7,-7,-7,-7,-7,-7,-7,-9,-7,-7,-7
MCS7,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1e9c,0,,,,,,,,,,,,,
1edc,0,,,,,,,,,,,,,
